OpenTime;Type;Volume;Symbol;OpenPrice;S/L;T/P;CloseTime;ClosePrice;Commission;Swap;Profit;Comment
2020.09.22 15:40:06;Buy;0.01;EURCAD.;1.56110;;;2020.09.23 14:04:17;1.56026;;;-0.63;
2020.09.22 13:00:22;Buy;0.01;EURAUD.;1.62885;;;2020.09.22 13:26:33;1.62970;;;0.61;
2020.09.22 10:00:57;Sell;0.01;EURUSD.;1.17450;;;2020.09.22 13:26:33;1.17394;;;0.56;
2020.09.22 09:29:43;Sell;0.01;EURAUD.;1.63103;;;2020.09.22 09:49:36;1.62875;;;1.64;
2020.09.22 09:37:46;Buy;0.01;EURUSD.;1.17490;;;2020.09.22 09:49:36;1.17409;;;-0.81;
2020.09.22 09:06:01;Sell;0.01;EURAUD.;1.63024;;;2020.09.22 09:29:45;1.63104;;;-0.58;
2020.09.21 12:25:01;Sell Stop;0.01;EURNZD.;1.75898;;;2020.09.21 22:00:40;1.76505;;;;cancelled
2020.09.21 14:46:40;Buy;0.01;EURJPY.;123.054;;;2020.09.21 20:33:42;123.257;;;1.94;
2020.09.21 14:34:48;Sell;0.01;EURJPY.;123.282;;;2020.09.21 14:36:13;123.184;;;0.94;
2020.09.21 14:34:48;Buy;0.01;EURUSD.;1.17703;;;2020.09.21 14:36:13;1.17638;;;-0.65;
2020.09.17 08:38:29;Sell;0.01;EURUSD.;1.17857;;;2020.09.21 14:34:10;1.17716;;;1.41;
2020.09.21 14:34:00;Buy;0.01;EURJPY.;123.118;;;2020.09.21 14:34:09;123.139;;;0.20;
2020.09.21 08:25:20;Buy Stop;0.01;EURJPY.;123.293;;;2020.09.21 10:21:37;122.914;;;;cancelled
2020.09.21 10:02:40;Sell;0.01;EURGBP.;0.91791;;;2020.09.21 10:21:36;0.91728;;;0.81;
2020.09.18 18:25:00;Sell Stop;0.01;EURGBP.;0.91523;;;2020.09.18 19:07:37;0.91661;;;;cancelled
2020.09.18 18:25:19;Buy;0.01;EURAUD.;1.62214;;;2020.09.18 19:07:37;1.62330;;;0.84;
2020.09.17 15:29:08;Sell;0.01;EURGBP.;0.91357;;;2020.09.17 15:31:21;0.91136;;;2.86;
2020.09.17 13:40:37;Buy;0.01;EURNZD.;1.75554;;;2020.09.17 15:31:21;1.75477;;;-0.52;
2020.09.17 08:15:11;Sell;0.01;EURAUD.;1.61820;;;2020.09.17 08:47:30;1.61741;;;0.58;
2020.09.17 07:25:00;Buy Stop;0.01;EURJPY.;123.541;;;2020.09.17 08:47:30;123.479;;;;cancelled
2020.09.17 07:15:23;Sell;0.01;EURAUD.;1.61895;;;2020.09.17 08:25:33;1.61741;;;1.12;
2020.09.17 08:25:19;Sell;0.01;EURNZD.;1.75948;;;2020.09.17 08:25:32;1.75990;;;-0.28;
2020.09.16 20:26:22;Sell;0.01;EURAUD.;1.61809;;;2020.09.17 02:44:49;1.61554;;;1.86;
2020.09.16 20:25:01;Buy Stop;0.01;EURCAD.;1.55772;;;2020.09.17 02:44:49;1.55682;;;;cancelled
2020.09.16 22:11:45;Sell;0.01;EURCAD.;1.55695;;;2020.09.17 01:45:37;1.55491;;;1.54;
2020.09.16 22:12:39;Sell;0.01;EURCAD.;1.55678;;;2020.09.17 01:45:36;1.55493;;;1.40;
2020.09.16 20:36:02;Sell;0.01;EURAUD.;1.61817;;;2020.09.16 22:00:42;1.61847;;;-0.22;
2020.09.16 20:36:01;Buy;0.01;EURUSD.;1.18016;;;2020.09.16 22:00:42;1.18137;;;1.21;
2020.09.16 19:05:35;Sell;0.01;EURAUD.;1.61742;;;2020.09.16 19:14:31;1.61720;;;0.16;
2020.09.16 19:12:16;Buy;0.01;EURUSD.;1.18223;;;2020.09.16 19:14:30;1.18255;;;0.32;
2020.09.16 18:59:22;Sell;0.01;EURAUD.;1.61763;;;2020.09.16 19:03:16;1.61741;;;0.17;
2020.09.16 18:59:22;Buy;0.01;EURUSD.;1.18275;;;2020.09.16 19:03:16;1.18422;;;1.47;
